,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
94,Glory & Miserable Survivors DX,/app/2178330/,2023-03-16,776,390,26,416,86.63,Action (1),"Action (1), Casual (4), RPG (3)",Mango Party,TLACHTLI,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-16,93.0,117,117,776,2023-03-17
95,Soundodger 2,/app/1400910/,2023-04-10,53,109,2,111,86.55,Action (1),"Action (1), Casual (4), Indie (23)",Studio Bean,Studio Bean,Engine.Unity; SDK.Discord; SDK.cURL,2023-03-27,98.0,11,24,53,2021-10-11
96,Caves of Lore,/app/2227130/,2023-01-21,103,148,5,153,86.47,RPG (3),"Indie (23), RPG (3), Strategy (2)",by Mike Robins,by Mike Robins,Engine.Unity; SDK.SteamworksNET,2023-04-12,96.0,10,11,103,2023-01-29
97,Lone Fungus,/app/1674780/,2023-04-07,214,194,9,203,86.38,Indie (23),"Action (1), Adventure (25), Indie (23)",Basti Games,Basti Games,Engine.ClickTeamFusion,2023-04-05,94.0,175,213,247,2023-04-12
98,Passpartout 2: The Lost Artist,/app/1571100/,2023-04-04,591,272,16,288,86.37,Indie (23),"Casual (4), Indie (23), Simulation (28)",Flamebait Games,Flamebait Games,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-04-04,94.0,267,285,591,2023-04-08
99,A Bavarian Tale - Totgeschwiegen,/app/1694560/,2023-02-02,57,144,5,149,86.32,Adventure (25),"Adventure (25), RPG (3)",Active Fungus Studios,Active Fungus Studios,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2023-02-02,96.0,7,7,57,2023-02-05
100,Coralina,/app/2246120/,2023-01-06,16,192,9,201,86.31,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3)",ZNT Productions,Gabriel Maki,nan,2023-01-30,95.0,0,2,16,2023-01-08
101,King Of The Castle,/app/1839880/,2023-03-02,321,488,38,526,86.29,Casual (4),"Casual (4), Indie (23), Strategy (2)",Team17,Tributary Games,Engine.Unity; SDK.UnityURP; SDK.cURL,2023-03-02,93.0,24,89,321,2023-03-05
102,ZED ZONE,/app/1211600/,2023-03-30,2569,1332,135,1467,86.25,Indie (23),"Action (1), Indie (23), RPG (3), Simulation (28), Early Access (70)",INDIECN,Leven Liu,Engine.Unity; SDK.UnityBurst,2023-03-29,90.0,865,998,2569,2023-03-31
103,Omega Strikers,/app/1869590/,2023-04-27,19257,10006,1292,11298,86.24,Free to Play (37),"Action (1), Free to Play (37), Strategy (2)",Odyssey Interactive,Odyssey Interactive,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2,2023-04-07,88.0,10,39,19257,2022-09-24
104,BETON BRUTAL,/app/2330500/,2023-03-31,147,129,4,133,86.24,Indie (23),"Casual (4), Indie (23)",Jan Malitschek,Jan Malitschek,Engine.Unity; SDK.cURL,2023-03-09,94.0,64,98,147,2023-04-06
105,ENTROPOLY,/app/2226160/,2023-03-02,41,102,2,104,86.23,Action (1),Action (1),Wills Blackett,Wills Blackett,nan,2023-03-03,98.0,0,5,41,2023-03-05
106,ふりかけ☆スペイシー,/app/1764700/,2023-03-01,48,71,0,71,86.2,Indie (23),Indie (23),よんとんトマチン,よんとんトマチン,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-02,98.0,3,8,48,2023-03-02
107,Cannibal Abduction,/app/2189640/,2023-01-13,25,138,5,143,86.09,Adventure (25),"Adventure (25), Indie (23)",selewi,Tomás Esconjaureguy,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-12-25,95.0,0,3,25,2023-01-19
108,Graze Counter GM,/app/1486440/,2023-01-18,72,84,1,85,86.05,Action (1),"Action (1), Casual (4)",Henteko Doujin,Bikkuri Software,Engine.GameMaker,2022-11-16,98.0,1,7,72,2023-01-19
109,The Multi-Medium,/app/2077380/,2023-01-20,15,84,1,85,86.05,Indie (23),"Adventure (25), Casual (4), Indie (23)",Micah Boursier,Micah Boursier,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,2023-01-16,98.0,0,2,15,2023-01-21
110,Basements n' Basilisks: Storms of Sorcery,/app/2236860/,2023-02-27,20,98,2,100,86.04,Adventure (25),"Adventure (25), Casual (4), RPG (3), Simulation (28)",eNVy softworks,eNVy softworks,Engine.Unity,2023-02-23,98.0,0,2,20,2023-02-27
111,Partum Artifex,/app/2069760/,2023-02-26,17,83,1,84,86.0,Adventure (25),Adventure (25),DalaKoala Games,DalaKoala Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-01-27,98.0,0,4,17,2023-02-27
112,Plan B: Terraform,/app/1894430/,2023-02-15,2352,1072,108,1180,85.99,Early Access (70),"Indie (23), Simulation (28), Strategy (2), Early Access (70)",Gaddy Games,Gaddy Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-12-08,90.0,168,172,2352,2023-02-15
113,Dreams in the Witch House,/app/1902850/,2023-02-16,42,123,4,127,85.98,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Bonus Stage Publishing,Atom Brain Games,Engine.AdventureGameStudio; SDK.SDL,2023-02-17,96.0,3,7,42,2023-02-19
114,Planet Cube: Edge,/app/791200/,2023-02-23,14,97,2,99,85.98,Action (1),"Action (1), Adventure (25), Indie (23)",Firestoke,Sunna Entertainment,Engine.Unity; SDK.EpicOnlineServices; SDK.FMOD; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2023-02-04,97.0,0,3,14,2023-02-23
115,The Pale Beyond,/app/1266030/,2023-02-24,738,731,68,799,85.94,Indie (23),"Adventure (25), Indie (23), RPG (3), Simulation (28), Strategy (2)",Fellow Traveller,Bellular Studios,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2023-02-24,91.0,27,32,738,2023-02-25
116,Kujlevka,/app/1365720/,2023-04-06,73,82,1,83,85.94,Adventure (25),Adventure (25),Crytivo,Callback,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-04-06,98.0,16,28,73,2023-04-08
117,vivid/stasis,/app/2093940/,2023-03-07,53,109,3,112,85.92,Indie (23),"Indie (23), Early Access (70)",Hajimeli,Team Vividstasis,Engine.GameMaker,2023-02-22,97.0,13,26,53,2023-03-08
118,Aces and Adventures,/app/1815570/,2023-02-23,2455,879,87,966,85.82,RPG (3),"Adventure (25), RPG (3), Strategy (2)",Yogscast Games,Triple.B.Titles,Engine.Unity; SDK.NVIDIA_DLSS; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,2023-02-23,91.0,103,112,2455,2023-02-28
119,Tower Tactics: Liberation,/app/1709900/,2023-02-06,808,751,72,823,85.79,Strategy (2),"Indie (23), Strategy (2)",AsraWorks,AsraWorks,Engine.Godot,2023-02-06,91.0,77,85,808,2023-02-12
120,一起击碎吧,/app/2354650/,2023-04-06,28,62,0,62,85.63,Casual (4),"Casual (4), Free to Play (37), Racing (9), RPG (3), Strategy (2), Early Access (70)",JS-game,JS-game,SDK.CEF,2023-03-11,100.0,0,7,28,2023-04-09
121,Time Wasters,/app/1290330/,2023-03-10,934,695,67,762,85.62,Action (1),"Action (1), Casual (4), Indie (23), RPG (3), Early Access (70)",Proton Studio,Proton Studio,Engine.Unity; SDK.UnityBurst,2023-04-06,91.0,280,296,934,2023-03-12
122,Kandria,/app/1261430/,2023-01-11,26,90,2,92,85.61,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Shirakumo Games,Shirakumo Games,SDK.OpenSSL; SDK.Vorbis,2023-02-15,96.0,1,2,26,2023-01-12
123,Juno: New Origins,/app/870200/,2023-01-26,780,1953,229,2182,85.6,Simulation (28),"Indie (23), Simulation (28)",Jundroo LLC,Jundroo LLC,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2023-01-25,89.0,128,134,780,2023-01-29
124,Hell Of An Office,/app/1640890/,2023-03-14,26,76,1,77,85.58,Action (1),"Action (1), Indie (23), Early Access (70)",Joystick Ventures,43 Studios,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-03-17,98.0,1,4,26,2023-03-14
125,Confabulation,/app/2246400/,2023-01-13,13,61,0,61,85.57,Indie (23),"Adventure (25), Casual (4), Indie (23)",Authogin,Authogin,Engine.Unity; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,2022-12-30,100.0,0,4,13,2023-02-19
126,Good Pizza Great Pizza,/app/770810/,2023-01-06,145,1453,164,1617,85.55,Simulation (28),"Casual (4), Indie (23), Simulation (28)",TapBlaze,TapBlaze,Engine.Cocos; SDK.Discord; SDK.OpenAL; SDK.Vorbis; SDK.cURL,2023-04-03,89.0,80,80,145,2023-02-12
127,Lords of Infinity,/app/2169120/,2023-03-02,270,114,4,118,85.55,Indie (23),"Casual (4), Indie (23), RPG (3)",Hosted Games,Hosted Games,Container.Electron,2022-12-07,96.0,8,15,270,2023-03-02
128,Apex Point,/app/2102520/,2023-03-05,385,604,57,661,85.52,Simulation (28),"Indie (23), Racing (9), Simulation (28), Early Access (70)",Apex Studio,Apex Studio,Engine.Unity; SDK.FMOD; SDK.NVIDIA_DLSS; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,2023-03-19,91.0,84,105,385,2023-03-19
129,Looking Up I See Only A Ceiling,/app/1742930/,2023-03-09,12,147,7,154,85.5,Adventure (25),"Adventure (25), Indie (23)",silver978,silver978,Engine.Godot,2023-04-08,95.0,1,5,12,2023-03-09
130,Magic Tower & Maidens,/app/2090950/,2023-02-27,61,124,5,129,85.47,Casual (4),Casual (4),The Magic Tower Girl Studio,The Magic Tower Girl Studio,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-03,96.0,0,2,61,2023-02-27
131,Robolife2-Nova Duty,/app/1777390/,2023-03-11,892,313,24,337,85.45,Simulation (28),Simulation (28),Critical Bliss,Barance Studio,Engine.Unity; SDK.UnityURP; SDK.cURL,2023-03-16,93.0,118,118,892,2023-03-11
132,Revenant,/app/2317510/,2023-03-29,20,74,1,75,85.45,Action (1),"Action (1), Free to Play (37), Indie (23)",Mayfly,Mayfly,Engine.Unity; SDK.FMOD; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-03-21,98.0,4,10,20,2023-03-30
133,Crafty Survivors,/app/2137760/,2023-03-15,374,198,12,210,85.44,Action (1),"Action (1), Early Access (70)",Flannel Bear Games,Flannel Bear Games,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-03-15,93.0,45,55,374,2023-03-25
134,Emberfate: Tempest of Elements,/app/2164490/,2023-01-27,21,59,0,59,85.42,Indie (23),Indie (23),Wind Chimes Games Limited,Wind Chimes Games Limited,Engine.RenPy,2022-12-26,100.0,1,3,21,2023-01-29
135,DIG - Deep In Galaxies,/app/1442840/,2023-03-08,40,73,1,74,85.39,Indie (23),"Action (1), Adventure (25), Indie (23)",🚀 Raiser Games,Molton Studio,Engine.GameMaker,2023-04-14,98.0,5,11,40,2023-03-20
136,與經紀人戀愛是絕對禁止2,/app/2053940/,2023-03-12,518,264,19,283,85.38,Simulation (28),"Casual (4), Indie (23), RPG (3), Simulation (28)",Mango Party,樹懶叫工作室,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,2023-03-14,93.0,81,81,518,2023-03-13
137,It Comes In Waves,/app/2342980/,2023-04-05,19,86,2,88,85.37,Adventure (25),"Action (1), Adventure (25)",Merlino Games,Antonio Freyre,nan,2023-03-29,97.0,1,3,19,2023-04-05
138,Weird and Unfortunate Things Are Happening,/app/2274410/,2023-02-06,29,58,0,58,85.35,RPG (3),"Free to Play (37), Indie (23), RPG (3)",Sapphire Dream Games,Sapphire Dream Games,Engine.RPGMaker,2023-03-10,100.0,2,7,29,2023-02-18
139,EVERSPACE™ 2,/app/1128920/,2023-04-06,9760,5400,732,6132,85.31,Action (1),"Action (1), Adventure (25), RPG (3), Simulation (28)",ROCKFISH Games,ROCKFISH Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Ansel; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-04-06,87.0,"7,670","7,720",9760,2023-04-09
140,SHUFFLE! Episode 2 ~Kami ni mo Akuma ni mo Nerawareteiru Otoko~,/app/2321180/,2023-03-10,89,120,5,125,85.27,Adventure (25),"Adventure (25), Casual (4)",HIKARI FIELD,Navel,nan,2023-03-10,96.0,13,13,89,2023-03-11
141,Handyman Legend,/app/2127010/,2023-03-10,1002,484,45,529,85.21,Indie (23),"Casual (4), Indie (23), RPG (3), Simulation (28)",SupaShinKen Studio,SupaShinKen Studio,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-03,91.0,117,117,1002,2023-03-10
142,觅光：第一章 - Seeking Light : Chapter 1,/app/2305480/,2023-03-25,28,56,0,56,85.2,RPG (3),"Casual (4), Free to Play (37), Indie (23), RPG (3), Simulation (28)",Eternal Dream,莓莓动物园,SDK.Greenworks; SDK.NWJS; SDK.NodeJS,2023-03-23,100.0,5,13,28,2023-03-29
143,Postmouse,/app/2273550/,2023-01-30,123,482,45,527,85.18,Adventure (25),"Adventure (25), Free to Play (37), Indie (23)",The Animation Workshop,Critters Collective,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-01-13,91.0,16,25,123,2023-02-12
144,Horny Warp,/app/1539160/,2023-02-17,218,210,14,224,85.18,Adventure (25),"Adventure (25), Casual (4)",IlluminatiGames,IlluminatiGames,Engine.Unity; SDK.cURL,2023-02-09,93.0,10,19,218,2023-02-18
145,Corsair`s Madness Prologue: Jungle`s Island,/app/2190570/,2023-02-03,46,69,1,70,85.11,Action (1),"Action (1), Adventure (25), Indie (23)",ManyDev Studio,Old Prawn,Engine.GameMaker,2023-04-11,98.0,0,1,46,2023-02-03
146,Backfirewall_,/app/1920100/,2023-01-30,86,178,11,189,85.08,Adventure (25),"Adventure (25), Casual (4), Indie (23)",All in! Games,Naraven Games,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,2023-01-30,94.0,2,4,86,2023-01-31
147,Troublemaker,/app/1498740/,2023-03-31,374,458,43,501,85.05,Indie (23),"Action (1), Adventure (25), Indie (23)",Freedom Games,Gamecom Team,nan,2023-03-31,90.0,43,54,374,2023-04-01
148,Zup! Q,/app/2206560/,2023-03-08,33,68,1,69,85.04,Casual (4),"Casual (4), Indie (23)",Quiet River,Quiet River,nan,2023-01-26,98.0,0,4,33,2023-03-08
149,Witch's Garden,/app/2347380/,2023-04-07,117,68,1,69,85.04,Adventure (25),"Adventure (25), Casual (4)",HIKARI FIELD,Windmill Oasis,nan,2023-03-17,98.0,79,87,117,2023-04-09
150,Drawing From Memory,/app/2225530/,2023-02-08,134,147,8,155,85.03,Casual (4),"Casual (4), Indie (23)",Lekker spelen,Lekker spelen,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-02-09,94.0,0,13,134,2023-02-08
151,FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,/app/2130460/,2023-03-09,1372,734,79,813,84.93,Adventure (25),Adventure (25),KOEI TECMO GAMES CO. LTD.,KOEI TECMO GAMES CO. LTD.,nan,2023-03-06,90.0,90,118,1372,2023-03-09
152,Temple Of Snek,/app/1208590/,2023-02-15,21,134,7,141,84.9,Action (1),"Action (1), Adventure (25), Indie (23)",Pixeljam,Aetheric Games,Engine.Unreal; SDK.CEF; SDK.Intel_OID; SDK.NVIDIA_Nsight_Aftermath; SDK.Vorbis; SDK.XAudio2,2023-02-14,95.0,0,1,21,2021-08-18
153,我在终点线等你,/app/2215290/,2023-03-24,22,66,1,67,84.89,RPG (3),"Adventure (25), Casual (4), Indie (23), RPG (3)",DreaMory,DreaMory,Engine.Unity; SDK.SteamworksNET,2023-01-01,98.0,0,3,22,2023-03-24
154,上古传说,/app/2321080/,2023-04-02,126,219,16,235,84.85,Action (1),"Action (1), Free to Play (37), RPG (3)",上古传说,上古传说,SDK.CEF,2023-03-08,92.0,55,72,126,2023-04-09
155,9 Childs Street,/app/1895890/,2023-02-16,30,235,18,253,84.79,Indie (23),Indie (23),N4bA,N4bA,Engine.Unity; SDK.Steam_Audio; SDK.UnityHDRP; SDK.UnityURP; SDK.cURL,2023-01-29,92.0,9,17,30,2023-02-20
156,KOP KILLER 22XX,/app/2217680/,2023-03-07,6,51,0,51,84.78,Early Access (70),"Action (1), Indie (23), Early Access (70)",Morningstar Game Studio,Morningstar Game Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2023-03-07,100.0,0,1,6,2023-03-09
157,Souls of White Star,/app/1772050/,2023-03-30,86,88,3,91,84.73,Indie (23),"Adventure (25), Indie (23), RPG (3), Strategy (2), Early Access (70)",IndieArk,Souls of Star Game Lab.,Engine.Unity; SDK.SteamworksNET; SDK.Wwise,2023-04-03,97.0,20,33,86,2023-04-05
158,Organs Please,/app/1593780/,2023-04-05,62,150,9,159,84.72,Strategy (2),"Indie (23), RPG (3), Simulation (28), Strategy (2)",HeroCraft PC,TECHHOME,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-04-05,93.0,10,18,62,2022-11-17
159,Selene ~Apoptosis~,/app/1398210/,2023-02-17,704,1527,192,1719,84.71,Adventure (25),Adventure (25),Nupu Neko Dev,Viscum key,Engine.RenPy,2023-02-19,88.0,63,83,704,2023-02-19
160,Ash of Gods: The Way Prologue,/app/2304670/,2023-03-09,747,250,20,270,84.71,Strategy (2),"Indie (23), Strategy (2)",AurumDust,AurumDust,Engine.Unity; SDK.FMOD,2023-03-09,92.0,5,8,747,2023-03-09
161,Zero-G Gunfight,/app/1312060/,2023-02-17,6,50,0,50,84.69,Indie (23),Indie (23),First Peoples Digital,Devil's Cider Games,Engine.Unity,2023-03-14,100.0,1,1,6,2023-03-16
162,In Sink: A Co-Op Escape Prologue,/app/2289970/,2023-02-25,1323,1167,142,1309,84.64,Casual (4),"Casual (4), Free to Play (37), Strategy (2)",Clock Out Games,Clock Out Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2023-02-25,89.0,219,411,1323,2023-02-28
163,Tower Escape,/app/2009860/,2023-02-15,283,213,16,229,84.64,Indie (23),"Casual (4), Indie (23), Strategy (2)",Final Screw,Final Screw,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-03-15,92.0,37,56,283,2023-02-19
164,ITRP _ Aero Star,/app/2180150/,2023-03-09,91,75,2,77,84.63,Action (1),"Action (1), Indie (23), Racing (9)",Unhexigion,Unhexigion,nan,2023-03-24,97.0,0,1,91,2023-03-09
165,Aery - Calm Mind 3,/app/2154400/,2023-03-31,5,49,0,49,84.6,Casual (4),"Casual (4), Indie (23), Simulation (28)",EpiXR Games UG,EpiXR Games UG,nan,2022-09-14,100.0,0,0,5,2023-04-01
166,Fateweaver: The Alchemist's Quandary,/app/2231900/,2023-02-27,8,49,0,49,84.6,RPG (3),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",Randumb Studios,Randumb Studios,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2022-12-16,100.0,0,2,8,2023-02-27
167,Tanky Tanks 2,/app/2241980/,2023-03-20,6,49,0,49,84.6,Action (1),"Action (1), Casual (4), Indie (23)",EpiXR Games UG,EpiXR Games UG,nan,2022-12-31,100.0,0,0,6,2023-03-21
168,Girl & Gem Magic,/app/2122070/,2023-03-31,85,211,16,227,84.57,Casual (4),"Casual (4), Indie (23), Strategy (2)",Twilight Sonata Studio,Twilight Sonata Studio,Engine.Unity; SDK.SteamworksNET,2023-03-31,92.0,1,4,85,2023-03-31
169,Battle Ram,/app/1262060/,2023-01-06,4403,887,104,991,84.56,Indie (23),"Action (1), Adventure (25), Indie (23), Simulation (28), Sports (18)",khukhrovr,Anatoliy Loginovskikh,nan,2023-02-10,89.0,7,15,4403,2023-02-12
170,Relic Dudes,/app/2116260/,2023-02-03,86,173,12,185,84.49,Action (1),"Action (1), Early Access (70)",Sad Socket,Achenar Studios,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-02-02,93.0,3,4,86,2023-02-03
171,Let's Pet Pets,/app/2254600/,2023-01-17,12,61,1,62,84.49,Casual (4),"Casual (4), Indie (23), Simulation (28), Early Access (70)",Mathew Kelly,Mathew Kelly,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-02-01,98.0,0,4,12,2023-02-02
172,Final Profit: A Shop RPG,/app/1705140/,2023-03-06,34,73,2,75,84.48,Indie (23),"Adventure (25), Indie (23), RPG (3), Simulation (28), Strategy (2)",Brent Arnold,Brent Arnold,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,2023-03-11,97.0,11,22,34,2023-03-26
173,The Farmer Was Replaced,/app/2060160/,2023-02-10,23,47,0,47,84.41,Simulation (28),"Casual (4), Indie (23), Simulation (28), Strategy (2), Early Access (70)",Timon Herzog,Timon Herzog,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-09-18,100.0,8,13,23,2023-02-20
174,ARK and ADE,/app/1599000/,2023-03-02,13,72,2,74,84.4,Action (1),"Action (1), Indie (23)",Beyond Frames,Castello Inc,Engine.Unreal; SDK.CEF; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,2023-03-02,97.0,0,1,13,2021-10-26
175,Aery VR - A Journey Beyond Time,/app/2173650/,2023-03-24,4,60,1,61,84.4,Simulation (28),"Casual (4), Indie (23), Simulation (28)",EpiXR Games UG,EpiXR Games UG,nan,2022-11-22,96.0,0,0,4,2023-03-27
176,Gone Rogue,/app/1803600/,2023-03-01,59,83,3,86,84.39,Adventure (25),"Action (1), Adventure (25), Indie (23), RPG (3)",AskaLot Games,AskaLot Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst,2023-02-17,96.0,13,15,59,2023-03-12
177,Nebula,/app/2101250/,2023-01-25,67,82,3,85,84.31,Action (1),"Action (1), Indie (23)",JuTek Pixel,JuTek Pixel,Engine.Unity,2023-01-13,95.0,2,6,67,2023-02-02
178,Nebula,/app/2101250/,2023-01-25,67,82,3,85,84.31,Action (1),"Action (1), Indie (23), Early Access (70)",Szekretar,Szekretar,Engine.Unity,2016-05-14,,0,0,3,2016-06-02
179,Nebula,/app/468130/,2016-06-02,3,4,0,4,69.2,Action (1),"Action (1), Indie (23)",JuTek Pixel,JuTek Pixel,Engine.Unity,2023-01-13,95.0,2,6,67,2023-02-02
180,Nebula,/app/468130/,2016-06-02,3,4,0,4,69.2,Action (1),"Action (1), Indie (23), Early Access (70)",Szekretar,Szekretar,Engine.Unity,2016-05-14,,0,0,3,2016-06-02
181,The Space-Eating Croc,/app/2020090/,2023-03-04,12,59,1,60,84.31,Indie (23),"Adventure (25), Casual (4), Indie (23)",PsychoFlux Entertainment,Chalkseagull,Engine.RPGMaker,2023-03-04,98.0,0,3,12,2022-10-28
182,Super Cakeboy,/app/2319580/,2023-03-16,23,46,0,46,84.31,Action (1),"Action (1), Free to Play (37), Indie (23)",Suits & Sandals,Suits &amp; Sandals,Engine.GameMaker; SDK.OpenAL,2023-02-22,100.0,2,4,23,2023-03-26
183,东方雪莲华 ～ Abyss Soul Lotus.,/app/1000440/,2023-02-02,290,309,29,338,84.25,Indie (23),"Action (1), Indie (23)",雨夜枫雪制作组,雨夜枫雪制作组,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-01-27,91.0,6,11,290,2023-02-03
184,Crush the Industry,/app/1098610/,2023-03-31,112,70,2,72,84.24,Strategy (2),"Indie (23), RPG (3), Simulation (28), Strategy (2), Early Access (70)",Cognoggin Games,Cognoggin Games,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-01-19,97.0,18,29,112,2023-04-01
185,Robo Maestro,/app/1808490/,2023-01-20,12,58,1,59,84.22,Indie (23),Indie (23),Joost van Dongen,Joost van Dongen,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2021-11-05,98.0,1,2,12,2023-01-22
186,Powerful Courses,/app/2092330/,2023-03-06,7,45,0,45,84.21,Simulation (28),"Casual (4), Indie (23), RPG (3), Simulation (28), Sports (18), Strategy (2)",General Script Studio,Serhii Khramov,SDK.OpenAL,2023-03-06,100.0,0,0,7,2023-03-10
187,Cataclysm: Dark Days Ahead,/app/2330750/,2023-03-31,114,120,7,127,84.16,RPG (3),"Adventure (25), RPG (3)",KorGgenT,CleverRaven,nan,2023-04-10,94.0,104,109,114,2023-04-09
188,WooLoop,/app/1878910/,2023-01-13,404,829,101,930,84.14,Casual (4),"Casual (4), Indie (23), Simulation (28)",ToastieLabs,ToastieLabs,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2023-01-16,89.0,56,64,404,2023-01-21
