,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
23838,Go Emoji Go The Maze,/app/1713210/,2021-08-19,1,1,0,1,59.42,Casual (4),"Action (1), Adventure (25), Casual (4), Indie (23), Massively Multiplayer (29), Racing (9), Simulation (28), Strategy (2)",Junior Mitil,Junior Mitil,nan,2021-08-19,,0,0,1,2021-08-20
23839,Metal Golem: First Contact,/app/1713410/,2021-08-23,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23), RPG (3)",Divine Vision LLC,Divine Vision LLC,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-08-28,,0,0,1,2021-08-25
23840,パズルハムスター ～地球冒険記～,/app/1714200/,2021-08-27,2,1,0,1,59.42,Casual (4),"Action (1), Casual (4)",orange,orange,Engine.Unity,2021-08-11,,0,1,2,2021-08-27
23841,Impossible Simplified Cube,/app/1715500/,2021-08-27,2,1,0,1,59.42,Strategy (2),"Action (1), Casual (4), Strategy (2)",SLFL,SLFL,Engine.Unity; SDK.cURL,2021-08-14,,0,0,2,2021-09-14
23842,Swinario Super Bros. Play,/app/1715670/,2021-09-20,1,1,0,1,59.42,Adventure (25),Adventure (25),Maxtrigger,Maxtrigger,nan,2021-09-08,,0,0,1,2021-09-21
23843,Survival Night,/app/1716470/,2021-08-27,1,1,0,1,59.42,Adventure (25),"Action (1), Adventure (25), Indie (23)",Fliper Games,Fliper Games,Engine.GameMaker,2021-08-11,,0,0,1,2021-08-28
23844,Poly Racing,/app/1719230/,2021-09-07,1,1,0,1,59.42,Racing (9),"Casual (4), Indie (23), Racing (9), Simulation (28), Early Access (70)",Shift Shaft Studios,Shift Shaft Studios,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2022-07-15,,0,0,1,2021-09-08
23845,生化迷城,/app/1719450/,2021-11-02,2,1,0,1,59.42,Casual (4),"Action (1), Adventure (25), Casual (4), Massively Multiplayer (29), RPG (3)",S.H.GAMES,S.H.GAMES,SDK.cURL,2021-10-14,,0,0,2,2021-11-12
23846,MannaWars,/app/1721990/,2021-09-01,2,1,0,1,59.42,Action (1),"Action (1), Indie (23)",Drunken Angel Entertainment,Drunken Angel Entertainment,SDK.OpenAL,2021-08-15,,0,0,2,2021-09-02
23847,Remy Raccoon and the Lost Temple,/app/1723700/,2021-09-24,1,1,0,1,59.42,Casual (4),"Adventure (25), Casual (4), Indie (23)",LH Games Limited,LH Games Limited,Engine.GameMaker,2021-09-20,,0,0,1,2021-10-20
