ID,game,release,positive_reviews,negative_reviews,primary_genre,store_genres,publisher,developer,detected_technologies,all_time_peak,all_time_peak_date
24213,Overpower,2016-04-20,36,7,Indie (23),"Action (1), Indie (23), RPG (3), Early Access (70)",Hydrant Games,Hydrant Games,Engine.Unity,26,2016-04-26
24214,Survive after hell,2021-03-12,4,2,Action (1),"Action (1), Adventure (25), Indie (23)",TheLea Games,DarkPlay Inc,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2,2021-04-03
24215,RoadPunk,2021-02-20,4,2,Racing (9),"Action (1), Adventure (25), Casual (4), Indie (23), Racing (9), Simulation (28), Sports (18)",ChangeMe,ChangeMe,Engine.Unity,3,2022-07-03
24216,Dungen,2021-04-06,4,2,Indie (23),"Indie (23), RPG (3), Strategy (2)",SVGames,SVGames,SDK.NWJS; SDK.NodeJS,4,2021-04-07
24217,Escape From My Turrets,2021-03-10,4,2,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Early Access (70)",IS-TL,IS-TL,Engine.Unity,2,2021-03-11
24218,Escape The Ordinary: Tales of Romina Manor,2021-02-25,4,2,Indie (23),Indie (23),megaseven,megaseven,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2,2021-02-26
24219,Great Battles of Karl XII,2021-05-16,4,2,Strategy (2),"Indie (23), Strategy (2)",𝕲𝖗𝖆𝖓𝖉𝕸𝖎𝖓𝖎 𝕾𝖙𝖚𝖉𝖎𝖔𝖘 (ᚴᛘᛋ),𝕲𝖗𝖆𝖓𝖉𝕸𝖎𝖓𝖎 𝕾𝖙𝖚𝖉𝖎𝖔𝖘 (ᚴᛘᛋ),Engine.Unity,3,2021-05-18
24220,Mystery Tales: Master of Puppets Collector's Edition,2021-03-05,4,2,Adventure (25),"Adventure (25), Casual (4)",Big Fish Games,Domini Games,SDK.BASS,10,2021-03-09
24221,Hyperspace : Andy's Adventure,2021-03-18,4,2,Casual (4),"Casual (4), Indie (23), Racing (9)",Eşref Çağatay Güven,Eşref Çağatay Güven,Engine.Unreal; SDK.CEF; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2,2021-03-20
24222,Contrast Tunnel,2021-03-16,4,2,Indie (23),"Casual (4), Indie (23)",INFINITE BRIDGE,INFINITE BRIDGE,Engine.Unity,3,2021-06-01
24223,Desktop AI - Lily,2021-05-05,4,2,Casual (4),"Casual (4), Indie (23), Simulation (28)",Mascot Atelier,Mascot Atelier,Engine.Unity,2,2021-05-05
